,artist_url,artist_name,max_chart_num,last_seen,first_seen,last_runID,first_runID
189,/ashnaiaofficial,ASHNAIA PROJECT,47,2018-09-28 14:25:17.283025,2018-09-28 14:41:07.875882,2,0
190,/ashur-music,Ashur,17,2018-10-06 15:11:08.860906,2018-10-07 14:45:13.336994,7,4
191,/asniceas2013,as nice as 2013,15,2018-10-24 19:52:37.857011,2018-10-27 14:55:04.522035,22,19
192,/asoung,A'SOUNG,36,2018-10-13 16:43:37.508990,2018-10-16 22:12:53.927750,11,8
193,/asthmatickitty,asthmatickitty,31,2018-09-28 14:25:17.283025,2018-10-27 14:54:43.452147,22,0
194,/astomps-uhcc-uptempo-hc,Uptempo HC Channel,46,2018-10-24 19:54:08.155322,2018-10-24 19:54:15.574238,19,19
195,/astralone2011,AstralOnE,41,2018-10-26 20:12:03.796996,2018-10-26 20:12:11.978103,21,21
196,/astrangelyisolatedplace,astrangelyisolatedplace,27,2018-09-28 14:25:17.283025,2018-09-30 16:44:04.991581,3,0
197,/astropilot,astropilot,37,2018-10-20 19:38:48.578224,2018-10-27 14:55:11.683914,22,15
198,/atliens,ATLiens,44,2018-09-28 14:25:17.283025,2018-10-27 14:56:38.299255,22,0
199,/atoents,ATO ENTERTAINMENT,47,2018-10-14 08:23:43.004855,2018-10-23 20:39:34.126677,18,9
200,/audio-aura-922832890,Audio Aura Records,46,2018-10-26 20:11:02.869045,2018-10-27 14:55:11.683914,22,21
201,/audiovisualsatmosphere,AUDIO VISUALS ATMOSPHERE,42,2018-10-07 14:43:28.311945,2018-10-07 14:43:40.584511,7,7
202,/automhate,Automhate,46,2018-10-17 20:30:37.668052,2018-10-19 19:54:47.465036,14,12
203,/auxlondon,Aux London,50,2018-09-28 14:25:17.283025,2018-10-27 14:54:06.225765,22,0
204,/avalon-young-voices,Avalon Young Voices,47,2018-09-28 14:25:17.283025,2018-09-28 14:41:07.875882,2,0
205,/avesource,Wavesource,22,2018-09-28 14:25:17.283025,2018-10-19 19:51:51.427180,14,0
206,/avi8music,Avi8,48,2018-09-30 16:44:22.682601,2018-09-30 16:44:29.991770,3,3
207,/aviwkila,Aviwkila,48,2018-10-18 20:05:57.808296,2018-10-20 19:39:54.555232,15,13
208,/avrxla,Avrxla,47,2018-10-13 16:43:05.790137,2018-10-16 22:12:19.530399,11,8
209,/awbrose,Awbrose Beats,49,2018-09-30 16:45:29.473893,2018-09-30 16:45:36.053224,3,3
210,/awrencearr,Farr,49,2018-10-20 19:39:43.153458,2018-10-24 19:54:25.016660,19,15
211,/aydin-khalili-919594167,Aydin Khalili,43,2018-10-07 14:43:28.311945,2018-10-07 14:43:40.584511,7,7
212,/ayleks24,AYLEK$,41,2018-09-28 14:25:17.283025,2018-09-28 14:41:07.875882,2,0
213,/azaleh,Azaleh,47,2018-10-13 16:41:27.116133,2018-10-19 19:53:42.340100,14,8
214,/azmy-magdy-azmy,Azmy Magdy Azmy,50,2018-10-18 20:02:47.191943,2018-10-27 14:53:33.610925,22,13
215,/azucar-digital,Azucar Digital,50,2018-10-17 20:30:23.071409,2018-10-26 20:11:56.546400,21,12
216,/b-o-hu-nh-543126563,Bảo Huỳnh,42,2018-10-18 20:04:54.489548,2018-10-18 20:05:02.285510,13,13
217,/b-t-s-474101004,ღ 슈비_[๑B T S๑],10,2018-10-26 20:12:12.762009,2018-10-27 14:56:23.649472,22,21
218,/baba-beach-club,BaBa Beach Club,49,2018-09-28 14:25:17.283025,2018-10-27 14:55:56.565493,22,0
219,/backtalk101,Back Talk,17,2018-09-28 14:25:17.283025,2018-10-27 14:54:36.923725,22,0
220,/bad-taste-recordings,Bad Taste Recordings,50,2018-10-14 08:24:10.345981,2018-10-27 14:56:05.439359,22,9
221,/baddageneral,Badda General / Real Squad Records,38,2018-09-28 14:25:17.283025,2018-09-28 14:41:07.875882,2,0
222,/badklaat,BadKlaat,34,2018-10-13 16:42:27.132975,2018-10-27 14:54:29.365651,22,8
223,/baithead,baithead,42,2018-10-19 19:54:30.137393,2018-10-25 20:32:47.331382,20,14
224,/balladofthecats,Ballad Of The Cats,37,2018-10-06 15:11:15.486209,2018-10-07 14:45:23.428857,7,4
225,/bananagirlfriend,bananagirlfriend,31,2018-09-28 14:25:17.283025,2018-10-27 14:53:33.610925,22,0
226,/bandboycapp,OMGCapp ®,26,2018-10-21 19:16:41.439205,2018-10-21 19:16:50.182898,16,16
227,/bangtan,BTS,47,2018-09-28 14:25:17.283025,2018-10-27 14:56:38.299255,22,0
228,/bar25,Bar 25 Music,47,2018-10-14 08:23:51.978444,2018-10-18 20:05:17.576426,13,9
