,artist_url,artist_name,song_url,song_name,country,genre,run_date
39,/eminemofficial,Eminem,/eminemofficial/stepping-stone,Stepping Stone,US,Hip Hop,2018-09-03 16:02:18.920736
40,/nba-youngboy,YoungBoy Never Broke Again,/nba-youngboy/ttg-featuring-kevin-gates,TTG (featuring Kevin Gates),US,Hip Hop,2018-09-03 16:02:18.920736
41,/isaiah-tucker-303852371,Isaiah Tucker,/isaiah-tucker-303852371/nba-youngboy-no-mention,Nba Youngboy No Mention,US,Hip Hop,2018-09-03 16:02:18.920736
42,/monstax_jh,주 honey,/monstax_jh/03-jooheon-kang-back-ho,03 JOOHEON - 강백호 (Kang Back-ho),US,Hip Hop,2018-09-03 16:02:18.920736
43,/sahbabii,SahBabii,/sahbabii/anime-world,Anime World,US,Hip Hop,2018-09-03 16:02:18.920736
44,/sadboicentral,Machine Gun Kelly - Rap Devil (Eminem Diss) - MGK,/sadboicentral/nba-youngboy-this-4-them-ft-fbc-baby-boy,NBA YoungBoy - This 4 Them Ft FBC Baby Boy,US,Hip Hop,2018-09-03 16:02:18.920736
45,/eminemofficial,Eminem,/eminemofficial/nice-guy-feat-jessie-reyez,Nice Guy,US,Hip Hop,2018-09-03 16:02:18.920736
46,/lilanomaly,LIL ANOMALY,/lilanomaly/how-to-be-a-soundcloud-rapper-prod-fatal-m,HOW TO BE A SOUNDCLOUD RAPPER (prod. Fatal-M),US,Hip Hop,2018-09-03 16:02:18.920736
47,/l2share49,L2Share♫49,/l2share49/nct-dream-we-go-up,NCT DREAM - We Go Up,US,Hip Hop,2018-09-03 16:02:18.920736
48,/preschooldropouts,NBA youngboy,/preschooldropouts/nba-youngboy-no-mentions,Nba Youngboy - No Mentions (Official Audio),US,Hip Hop,2018-09-03 16:02:18.920736
49,/jcdifferentiii,J.C,/jcdifferentiii/omg,OMG,US,Hip Hop,2018-09-03 16:02:18.920736
